Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
1,167(97aa5),51.544881,-0.132373,449(b1bf9),51.544171,-0.136902,322.99037919215755
2,449(b1bf9),51.544171,-0.136902,153(c726b),51.545695,-0.141729,374.3500326174181
3,153(c726b),51.545695,-0.141729,272(1e779),51.543117,-0.149304,597.1401151877188
4,272(1e779),51.543117,-0.149304,282(c80c3),51.540595,-0.144307,445.04653426428825
5,282(c80c3),51.540595,-0.144307,49(4dddd),51.539425,-0.142748,168.96936851013132
6,49(4dddd),51.539425,-0.142748,514(789d9),51.538136,-0.141993,152.545651414236
7,514(789d9),51.538136,-0.141993,84(f4751),51.538028,-0.13349,588.212311477121
8,84(f4751),51.538028,-0.13349,19(88b5c),51.537349,-0.14054,493.41143582602444
9,19(88b5c),51.537349,-0.14054,114(bd42e),51.534753,-0.140141,289.9782199503858
10,114(bd42e),51.534753,-0.140141,181(96dd4),51.530394,-0.143693,543.4142199949837
11,181(96dd4),51.530394,-0.143693,185(3361b),51.529035,-0.140778,251.98522894050978
12,185(3361b),51.529035,-0.140778,364(29847),51.527637,-0.142205,184.14598864699627
13,364(29847),51.527637,-0.142205,550(eac9b),51.51968,-0.125347,1463.9391127278593
14,550(eac9b),51.51968,-0.125347,47(adc1f),51.5186,-0.123056,198.8706280670269
15,47(adc1f),51.5186,-0.123056,1(3dd82),51.513075,-0.118888,678.681842601791
16,1(3dd82),51.513075,-0.118888,503(ccf12),51.51163,-0.121916,264.05522768886397
17,503(ccf12),51.51163,-0.121916,432(b1b9b),51.513777,-0.123456,261.44170722602485
18,432(b1b9b),51.513777,-0.123456,342(e8d70),51.51401,-0.124528,78.5759103371471
19,342(e8d70),51.51401,-0.124528,143(c8783),51.514445,-0.125259,69.9886769422576
20,143(c8783),51.514445,-0.125259,261(ea5e7),51.513243,-0.127139,186.5172986029157
21,261(ea5e7),51.513243,-0.127139,160(da011),51.513361,-0.12833,83.45542154434028
22,160(da011),51.513361,-0.12833,232(6ed74),51.511703,-0.128701,186.14023823973878
23,232(6ed74),51.511703,-0.128701,466(a75a5),51.51179,-0.131925,223.31890129486203
24,466(a75a5),51.51179,-0.131925,250(cbe84),51.512513,-0.133841,155.0598983537245
25,250(cbe84),51.512513,-0.133841,191(10777),51.513406,-0.131715,177.4949512290502
26,191(10777),51.513406,-0.131715,543(09250),51.514246,-0.131436,95.37822151671269
27,543(09250),51.514246,-0.131436,399(681a5),51.514492,-0.131037,38.865988605230804
28,399(681a5),51.514492,-0.131037,447(874e3),51.513848,-0.129593,122.93326050862129
29,447(874e3),51.513848,-0.129593,360(8fb58),51.513064,-0.129438,87.83419354531902
30,360(8fb58),51.513064,-0.129438,139(780a4),51.511703,-0.128701,159.699216593477
31,139(780a4),51.511703,-0.128701,183(e9a50),51.510942,-0.131196,192.2827464361332
32,183(e9a50),51.510942,-0.131196,182(c3355),51.51179,-0.131925,106.94083121915067
33,182(c3355),51.51179,-0.131925,504(98ae6),51.510942,-0.131196,106.94083121915067
34,504(98ae6),51.510942,-0.131196,290(8c81e),51.509158,-0.13493,325.773284022039
35,290(8c81e),51.509158,-0.13493,174(1eb20),51.510952,-0.134064,208.29199364190717
36,174(1eb20),51.510952,-0.134064,161(3f416),51.512136,-0.134995,146.5740188542844
37,161(3f416),51.512136,-0.134995,582(54520),51.513114,-0.138803,285.07591578723475
38,582(54520),51.513114,-0.138803,111(a6608),51.513708,-0.140004,106.15899907108042
39,111(a6608),51.513708,-0.140004,120(d9ff6),51.514684,-0.140844,123.11256697361073
40,120(d9ff6),51.514684,-0.140844,240(454af),51.515088,-0.140222,62.21404181193927
41,240(454af),51.515088,-0.140222,467(9c5a3),51.515087,-0.136201,278.24337772376543
42,467(9c5a3),51.515087,-0.136201,255(ac2e5),51.515684,-0.135874,70.13382585370877
43,255(ac2e5),51.515684,-0.135874,523(6dc46),51.516166,-0.137324,113.75218395709203
44,523(6dc46),51.516166,-0.137324,292(372a3),51.516058,-0.140154,196.19255207872797
45,292(372a3),51.516058,-0.140154,30(68ff5),51.519946,-0.142662,465.85462169260313
46,30(68ff5),51.519946,-0.142662,435(57bc7),51.521028,-0.14171,137.16349423640287
47,435(57bc7),51.521028,-0.14171,421(7fcd4),51.523786,-0.138152,393.2522030916084
48,421(7fcd4),51.523786,-0.138152,190(36aca),51.525296,-0.131609,482.80225876460406
49,190(36aca),51.525296,-0.131609,230(46e26),51.528645,-0.128136,443.17120645637226
50,230(46e26),51.528645,-0.128136,458(0d210),51.528633,-0.125729,166.5142967334046
51,458(0d210),51.528633,-0.125729,511(e8c5b),51.529849,-0.123588,200.5440778843393
52,511(e8c5b),51.529849,-0.123588,237(afcc4),51.529674,-0.115479,561.2795810367069
53,237(afcc4),51.529674,-0.115479,124(647af),51.530455,-0.106464,629.6285996485508
54,124(647af),51.530455,-0.106464,288(84393),51.528176,-0.102854,355.782107188145
55,288(84393),51.528176,-0.102854,192(b5bfd),51.52166,-0.09093,1097.9446358899688
56,192(b5bfd),51.52166,-0.09093,521(0ad98),51.526563,-0.092656,558.1127193665137
57,521(0ad98),51.526563,-0.092656,156(b50c4),51.527008,-0.096819,292.2153413066227
58,156(b50c4),51.527008,-0.096819,307(b51e0),51.52355,-0.099284,420.6320218746459
59,307(b51e0),51.52355,-0.099284,262(09e85),51.522758,-0.105962,470.33777782581916
60,262(09e85),51.522758,-0.105962,169(d3daf),51.5194,-0.107917,397.1375064121417
61,169(d3daf),51.5194,-0.107917,104(50735),51.493621,-0.138459,3561.6095820665064
62,104(50735),51.493621,-0.138459,247(fd53c),51.491604,-0.149605,803.5889505149519
63,247(fd53c),51.491604,-0.149605,460(0c987),51.49012,-0.165625,1121.3421203581072
64,460(0c987),51.49012,-0.165625,90(7dfe2),51.489662,-0.163368,164.35454343357026
65,90(7dfe2),51.489662,-0.163368,168(2bf09),51.493505,-0.161283,451.0448826916352
66,168(2bf09),51.493505,-0.161283,474(394fd),51.500987,-0.16189,833.0208896354607
67,474(394fd),51.500987,-0.16189,41(69f18),51.499842,-0.163434,166.22959984396098
68,41(69f18),51.499842,-0.163434,234(486aa),51.497988,-0.167888,370.88863148133527
69,234(486aa),51.497988,-0.167888,82(61a04),51.497252,-0.167975,82.06076191839142
