Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
1,0(47823),51.483548,-0.009691,141(ea746),51.481394,-0.024806,1073.7245798087108
2,141(ea746),51.481394,-0.024806,313(916a4),51.47824,-0.026066,361.40052933165987
3,313(916a4),51.47824,-0.026066,554(f384c),51.478737,-0.036356,714.7544430719792
4,554(f384c),51.478737,-0.036356,175(6b010),51.47976,-0.045371,634.585195494417
5,175(6b010),51.47976,-0.045371,338(7d25b),51.482392,-0.051163,496.5150044921125
6,338(7d25b),51.482392,-0.051163,527(9182f),51.491327,-0.048247,1013.8347520327362
7,527(9182f),51.491327,-0.048247,73(677a4),51.493203,-0.047461,215.58251275070984
8,73(677a4),51.493203,-0.047461,539(fb56c),51.497809,-0.04918,525.8071891558099
9,539(fb56c),51.497809,-0.04918,162(80a9e),51.497123,-0.06317,971.4476441839228
10,162(80a9e),51.497123,-0.06317,358(08086),51.498139,-0.06804,355.5472456440931
11,162(80a9e),51.497123,-0.06317,157(05905),51.492274,-0.065234,557.7960973652256
12,157(05905),51.492274,-0.065234,402(8df36),51.491347,-0.072245,496.21600024814177
13,402(8df36),51.491347,-0.072245,298(a5dd1),51.488404,-0.071058,337.408386819132
14,298(a5dd1),51.488404,-0.071058,138(6e8c2),51.488158,-0.068634,170.04805868270682
15,298(a5dd1),51.488404,-0.071058,410(f02c2),51.485008,-0.072296,387.2250498882335
16,358(08086),51.498139,-0.06804,150(67403),51.500446,-0.076587,644.8563681434033
17,410(f02c2),51.485008,-0.072296,573(60d52),51.481773,-0.080152,652.1694232716247
18,402(8df36),51.491347,-0.072245,517(458d6),51.494268,-0.083157,822.3165204852992
19,517(458d6),51.494268,-0.083157,413(c7f7f),51.491926,-0.088441,449.0427725661867
20,413(c7f7f),51.491926,-0.088441,579(af3c2),51.493347,-0.093957,413.27984594039646
21,579(af3c2),51.493347,-0.093957,135(8a2d7),51.496888,-0.094356,394.70891949662047
22,135(8a2d7),51.496888,-0.094356,301(4ab5a),51.497784,-0.094708,102.5671457834401
23,135(8a2d7),51.496888,-0.094356,422(19308),51.497037,-0.090273,283.13118600645294
24,301(4ab5a),51.497784,-0.094708,456(846ba),51.497367,-0.098947,297.0820480621511
25,301(4ab5a),51.497784,-0.094708,38(46b61),51.502367,-0.090684,580.7621460250555
26,38(46b61),51.502367,-0.090684,317(7a2b1),51.504168,-0.089168,226.08703473469777
27,317(7a2b1),51.504168,-0.089168,353(57060),51.505386,-0.089938,145.54388413190384
28,353(57060),51.505386,-0.089938,33(10f92),51.505414,-0.088338,110.7833868351234
29,579(af3c2),51.493347,-0.093957,159(5db1a),51.488202,-0.097211,614.8586319707669
30,159(5db1a),51.488202,-0.097211,97(7fe42),51.48753,-0.097339,75.24673178036318
31,97(7fe42),51.48753,-0.097339,519(10c55),51.483491,-0.103398,614.5888025385096
32,519(10c55),51.483491,-0.103398,34(573ab),51.47953,-0.110317,650.8120763291422
33,519(10c55),51.483491,-0.103398,373(12ddb),51.487289,-0.110774,662.723038851765
34,373(12ddb),51.487289,-0.110774,532(73b8a),51.487966,-0.110415,79.27665360767745
35,532(73b8a),51.487966,-0.110415,533(2cc42),51.489205,-0.114195,295.7659510682109
36,533(2cc42),51.489205,-0.114195,103(49fc4),51.490825,-0.111492,259.7532399780288
37,103(49fc4),51.490825,-0.111492,545(7fc2d),51.490825,-0.111492,0.0
38,533(2cc42),51.489205,-0.114195,419(810b6),51.488618,-0.122473,576.8511152463378
39,419(810b6),51.488618,-0.122473,407(29946),51.485535,-0.124227,363.69054893767014
40,103(49fc4),51.490825,-0.111492,289(8e3a4),51.495541,-0.116432,626.0627633101841
41,289(8e3a4),51.495541,-0.116432,485(7fa41),51.501201,-0.111971,701.0404958621498
42,485(7fa41),51.501201,-0.111971,98(a0647),51.506998,-0.113994,659.6294377908246
43,98(a0647),51.506998,-0.113994,235(63a49),51.510373,-0.120887,606.9677865849076
44,235(63a49),51.510373,-0.120887,503(ccf12),51.51163,-0.121916,156.86675096518002
45,503(ccf12),51.51163,-0.121916,432(b1b9b),51.513777,-0.123456,261.44170722602485
46,432(b1b9b),51.513777,-0.123456,342(e8d70),51.51401,-0.124528,78.5759103371471
47,342(e8d70),51.51401,-0.124528,143(c8783),51.514445,-0.125259,69.9886769422576
48,143(c8783),51.514445,-0.125259,261(ea5e7),51.513243,-0.127139,186.5172986029157
49,261(ea5e7),51.513243,-0.127139,160(da011),51.513361,-0.12833,83.45542154434028
50,160(da011),51.513361,-0.12833,360(8fb58),51.513064,-0.129438,83.48384566590603
51,360(8fb58),51.513064,-0.129438,447(874e3),51.513848,-0.129593,87.83419354531902
52,447(874e3),51.513848,-0.129593,399(681a5),51.514492,-0.131037,122.93326050862129
53,399(681a5),51.514492,-0.131037,543(09250),51.514246,-0.131436,38.865988605230804
54,543(09250),51.514246,-0.131436,191(10777),51.513406,-0.131715,95.37822151671269
55,360(8fb58),51.513064,-0.129438,139(780a4),51.511703,-0.128701,159.699216593477
56,139(780a4),51.511703,-0.128701,232(6ed74),51.511703,-0.128701,0.0
57,191(10777),51.513406,-0.131715,250(cbe84),51.512513,-0.133841,177.4949512290502
58,250(cbe84),51.512513,-0.133841,161(3f416),51.512136,-0.134995,90.19289403296712
59,161(3f416),51.512136,-0.134995,174(1eb20),51.510952,-0.134064,146.5740188542844
60,250(cbe84),51.512513,-0.133841,182(c3355),51.51179,-0.131925,155.0598983537245
61,182(c3355),51.51179,-0.131925,466(a75a5),51.51179,-0.131925,0.0
62,182(c3355),51.51179,-0.131925,183(e9a50),51.510942,-0.131196,106.94083121915067
63,183(e9a50),51.510942,-0.131196,504(98ae6),51.510942,-0.131196,0.0
64,174(1eb20),51.510952,-0.134064,290(8c81e),51.509158,-0.13493,208.29199364190717
65,503(ccf12),51.51163,-0.121916,1(3dd82),51.513075,-0.118888,264.05522768886397
66,235(63a49),51.510373,-0.120887,46(93619),51.508409,-0.123461,281.82533538957665
67,46(93619),51.508409,-0.123461,131(ff1b8),51.508087,-0.124122,58.09233095522444
68,161(3f416),51.512136,-0.134995,582(54520),51.513114,-0.138803,285.07591578723475
69,582(54520),51.513114,-0.138803,111(a6608),51.513708,-0.140004,106.15899907108042
70,111(a6608),51.513708,-0.140004,120(d9ff6),51.514684,-0.140844,123.11256697361073
71,120(d9ff6),51.514684,-0.140844,240(454af),51.515088,-0.140222,62.21404181193927
72,240(454af),51.515088,-0.140222,292(372a3),51.516058,-0.140154,107.96166691009631
73,120(d9ff6),51.514684,-0.140844,108(7c283),51.513827,-0.142363,141.87917164176775
74,292(372a3),51.516058,-0.140154,523(6dc46),51.516166,-0.137324,196.19255207872797
75,523(6dc46),51.516166,-0.137324,255(ac2e5),51.515684,-0.135874,113.75218395709203
76,255(ac2e5),51.515684,-0.135874,467(9c5a3),51.515087,-0.136201,70.13382585370877
77,108(7c283),51.513827,-0.142363,281(7be72),51.512078,-0.141526,202.92188573942673
78,108(7c283),51.513827,-0.142363,116(44dd1),51.514195,-0.145735,236.90044517262677
79,116(44dd1),51.514195,-0.145735,431(3b420),51.512336,-0.14705,225.85460456692428
80,431(3b420),51.512336,-0.14705,39(ae31c),51.509097,-0.146936,360.2467639715176
81,292(372a3),51.516058,-0.140154,30(68ff5),51.519946,-0.142662,465.85462169260313
82,30(68ff5),51.519946,-0.142662,435(57bc7),51.521028,-0.14171,137.16349423640287
83,435(57bc7),51.521028,-0.14171,421(7fcd4),51.523786,-0.138152,393.2522030916084
84,421(7fcd4),51.523786,-0.138152,190(36aca),51.525296,-0.131609,482.80225876460406
85,190(36aca),51.525296,-0.131609,230(46e26),51.528645,-0.128136,443.17120645637226
86,230(46e26),51.528645,-0.128136,458(0d210),51.528633,-0.125729,166.5142967334046
87,458(0d210),51.528633,-0.125729,511(e8c5b),51.529849,-0.123588,200.5440778843393
88,143(c8783),51.514445,-0.125259,47(adc1f),51.5186,-0.123056,486.51305076337593
89,47(adc1f),51.5186,-0.123056,550(eac9b),51.51968,-0.125347,198.8706280670269
90,421(7fcd4),51.523786,-0.138152,364(29847),51.527637,-0.142205,511.84474890592304
91,364(29847),51.527637,-0.142205,185(3361b),51.529035,-0.140778,184.14598864699627
92,185(3361b),51.529035,-0.140778,181(96dd4),51.530394,-0.143693,251.98522894050978
93,431(3b420),51.512336,-0.14705,481(a4cdd),51.514052,-0.154345,539.6748768308371
94,481(a4cdd),51.514052,-0.154345,516(5291f),51.51335,-0.159461,362.52889775422295
95,481(a4cdd),51.514052,-0.154345,492(1f4d0),51.517684,-0.151474,450.0775190237132
96,181(96dd4),51.530394,-0.143693,114(bd42e),51.534753,-0.140141,543.4142199949837
97,114(bd42e),51.534753,-0.140141,19(88b5c),51.537349,-0.14054,289.9782199503858
98,19(88b5c),51.537349,-0.14054,514(789d9),51.538136,-0.141993,133.25584822614613
99,514(789d9),51.538136,-0.141993,49(4dddd),51.539425,-0.142748,152.545651414236
100,49(4dddd),51.539425,-0.142748,45(6cb16),51.540595,-0.144307,168.96936851013132
101,45(6cb16),51.540595,-0.144307,282(c80c3),51.540595,-0.144307,0.0
102,45(6cb16),51.540595,-0.144307,272(1e779),51.543117,-0.149304,445.04653426428825
103,19(88b5c),51.537349,-0.14054,84(f4751),51.538028,-0.13349,493.41143582602444
104,511(e8c5b),51.529849,-0.123588,237(afcc4),51.529674,-0.115479,561.2795810367069
105,45(6cb16),51.540595,-0.144307,153(c726b),51.545695,-0.141729,594.4577356372298
106,153(c726b),51.545695,-0.141729,449(b1bf9),51.544171,-0.136902,374.3500326174181
107,449(b1bf9),51.544171,-0.136902,167(97aa5),51.544881,-0.132373,322.99037919215755
108,153(c726b),51.545695,-0.141729,115(58d22),51.549934,-0.141383,471.9621021657228
109,237(afcc4),51.529674,-0.115479,124(647af),51.530455,-0.106464,629.6285996485508
