Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
1,0(47823),51.483548,-0.009691,141(ea746),51.481394,-0.024806,1073.7245798087108
2,141(ea746),51.481394,-0.024806,313(916a4),51.47824,-0.026066,361.40052933165987
3,313(916a4),51.47824,-0.026066,554(f384c),51.478737,-0.036356,714.7544430719792
4,554(f384c),51.478737,-0.036356,175(6b010),51.47976,-0.045371,634.585195494417
5,175(6b010),51.47976,-0.045371,338(7d25b),51.482392,-0.051163,496.5150044921125
6,338(7d25b),51.482392,-0.051163,527(9182f),51.491327,-0.048247,1013.8347520327362
7,527(9182f),51.491327,-0.048247,73(677a4),51.493203,-0.047461,215.58251275070984
8,73(677a4),51.493203,-0.047461,278(59add),51.500588,-0.034134,1235.091899378867
9,278(59add),51.500588,-0.034134,117(f0ed5),51.50033,-0.017778,1132.5220066083464
10,117(f0ed5),51.50033,-0.017778,309(22d14),51.50993,-0.030302,1375.0894982125237
11,309(22d14),51.50993,-0.030302,539(fb56c),51.497809,-0.04918,1877.1888043538413
12,539(fb56c),51.497809,-0.04918,162(80a9e),51.497123,-0.06317,971.4476441839228
13,162(80a9e),51.497123,-0.06317,358(08086),51.498139,-0.06804,355.5472456440931
14,358(08086),51.498139,-0.06804,150(67403),51.500446,-0.076587,644.8563681434033
15,150(67403),51.500446,-0.076587,269(5b793),51.509785,-0.068095,1193.2444196367908
16,269(5b793),51.509785,-0.068095,31(9db58),51.518422,-0.073278,1025.1761315198282
17,31(9db58),51.518422,-0.073278,55(02057),51.519775,-0.071852,179.91498280908542
18,55(02057),51.519775,-0.071852,345(29943),51.526132,-0.080594,930.3051227398756
19,345(29943),51.526132,-0.080594,472(0951a),51.530061,-0.069615,876.1923778701027
20,472(0951a),51.530061,-0.069615,214(71eab),51.529254,-0.05614,936.4479948803768
21,214(71eab),51.529254,-0.05614,531(15ede),51.521582,-0.050053,951.3631505907039
22,531(15ede),51.521582,-0.050053,465(bb937),51.517182,-0.054824,590.2083917922824
23,465(bb937),51.517182,-0.054824,227(3ce3f),51.518735,-0.057886,273.329588191602
24,227(3ce3f),51.518735,-0.057886,172(ae1e1),51.524979,-0.083237,1886.3860133285925
25,172(ae1e1),51.524979,-0.083237,119(1b369),51.526984,-0.089842,508.4284344542642
26,119(1b369),51.526984,-0.089842,451(57aa7),51.532452,-0.088734,612.8258329641591
27,451(57aa7),51.532452,-0.088734,21(bff1e),51.533392,-0.091246,202.77158872576584
28,21(bff1e),51.533392,-0.091246,537(198db),51.536473,-0.100995,756.3510982550108
29,537(198db),51.536473,-0.100995,72(ffb25),51.547152,-0.105771,1232.5310623122396
30,72(ffb25),51.547152,-0.105771,109(f1a4e),51.54757,-0.11047,328.23635864743244
31,109(f1a4e),51.54757,-0.11047,387(a661b),51.552087,-0.115678,618.0201460365786
32,387(a661b),51.552087,-0.115678,122(1fc21),51.565977,-0.107658,1640.9947938008604
33,122(1fc21),51.565977,-0.107658,498(9e912),51.568683,-0.108195,303.1740624904872
34,498(9e912),51.568683,-0.108195,379(dbd67),51.564764,-0.10553,473.10521238236095
35,379(dbd67),51.564764,-0.10553,321(d4299),51.564087,-0.104245,116.43178542016604
36,321(d4299),51.564087,-0.104245,513(42ba6),51.563272,-0.103875,94.1637142094894
37,513(42ba6),51.563272,-0.103875,336(3a074),51.560381,-0.099148,458.3800318660987
38,336(3a074),51.560381,-0.099148,9(ed4c1),51.559728,-0.097732,121.8774530873792
39,9(ed4c1),51.559728,-0.097732,302(f1507),51.557771,-0.08245,1078.6415556234615
40,302(f1507),51.557771,-0.08245,186(af4ce),51.54558,-0.075477,1438.762055588578
41,186(af4ce),51.54558,-0.075477,324(7040f),51.54402,-0.066991,611.9281648199762
42,324(7040f),51.54402,-0.066991,553(b85d9),51.545342,-0.056118,766.1309304854502
43,553(b85d9),51.545342,-0.056118,446(53135),51.551104,-0.060892,720.7460682683817
44,446(53135),51.551104,-0.060892,400(6c267),51.552902,-0.054353,494.348324143079
45,400(6c267),51.552902,-0.054353,217(b71c9),51.554578,-0.05294,210.41626891596871
46,217(b71c9),51.554578,-0.05294,577(7283d),51.556032,-0.050022,258.53175530640806
47,577(7283d),51.556032,-0.050022,54(faeaa),51.550118,-0.045933,715.8024876029958
48,54(faeaa),51.550118,-0.045933,455(b7681),51.54052,-0.054939,1235.6676220468946
49,455(b7681),51.54052,-0.054939,445(ba063),51.53902,-0.056142,186.39169686738575
50,445(ba063),51.53902,-0.056142,187(0428d),51.536887,-0.047884,618.4351831971072
51,187(0428d),51.536887,-0.047884,158(f98e7),51.538552,-0.045838,233.0260106949492
52,158(f98e7),51.538552,-0.045838,515(8e105),51.542136,-0.040709,533.521061251439
53,515(8e105),51.542136,-0.040709,343(0a7a9),51.537288,-0.02778,1044.0987591500855
54,343(0a7a9),51.537288,-0.02778,61(bb3a6),51.527833,-0.021673,1133.0390662787697
55,61(bb3a6),51.527833,-0.021673,528(01c6c),51.520779,-0.031636,1044.191409783579
56,528(01c6c),51.520779,-0.031636,427(aae64),51.523768,-0.016861,1074.9063174995636
57,427(aae64),51.523768,-0.016861,414(d4615),51.523687,0.004817,1499.807016854693
58,414(d4615),51.523687,0.004817,382(7773f),51.524358,0.011319,455.97998450754994
59,382(7773f),51.524358,0.011319,22(400a2),51.53602,0.010867,1297.1321284752294
60,22(400a2),51.53602,0.010867,569(b46af),51.531775,0.028645,1317.1685002550428
61,569(b46af),51.531775,0.028645,207(85357),51.53602,0.052438,1712.091317943857
62,207(85357),51.53602,0.052438,2(f7d41),51.540042,0.076327,1711.6854032005122
63,2(f7d41),51.540042,0.076327,211(594af),51.547257,0.078675,818.5381436620814
64,211(594af),51.547257,0.078675,40(f2703),51.558158,0.074527,1245.6020278893222
65,40(f2703),51.558158,0.074527,512(2db1d),51.55981,0.073678,192.84256227320503
66,512(2db1d),51.55981,0.073678,42(db60f),51.560038,0.070904,193.43361486712135
67,42(db60f),51.560038,0.070904,483(60f32),51.560038,0.070904,0.0
68,483(60f32),51.560038,0.070904,311(1c7e4),51.545323,0.030978,3208.991019929537
69,311(1c7e4),51.545323,0.030978,70(4dffe),51.546578,0.029116,189.87589931243048
70,70(4dffe),51.546578,0.029116,60(19cb3),51.549348,0.007704,1512.2870158095925
71,60(19cb3),51.549348,0.007704,238(b97cd),51.546676,-1.15E-4,616.9231130336416
72,238(b97cd),51.546676,-1.15E-4,376(2cf9b),51.544171,-0.004595,416.60712153795305
73,376(2cf9b),51.544171,-0.004595,334(c5c16),51.543293,-0.006898,186.80403545318003
74,334(c5c16),51.543293,-0.006898,241(f68b8),51.543293,-0.006898,0.0
75,241(f68b8),51.543293,-0.006898,426(b06c7),51.544443,-0.006314,134.1000284894448
76,426(b06c7),51.544443,-0.006314,541(5439a),51.553159,0.005708,1276.8405412400712
77,541(5439a),51.553159,0.005708,470(e8c89),51.557658,-0.007135,1019.1482253428701
78,470(e8c89),51.557658,-0.007135,79(34272),51.560526,-0.011872,457.0991628210678
79,79(34272),51.560526,-0.011872,385(2a25c),51.56367,-0.010047,371.6625895673236
80,385(2a25c),51.56367,-0.010047,88(2d0ae),51.572725,-0.008424,1013.0996574476612
81,88(2d0ae),51.572725,-0.008424,285(a833d),51.576901,-0.010768,491.7931436542411
82,285(a833d),51.576901,-0.010768,83(5da87),51.58538,-0.018712,1090.968718508203
83,83(5da87),51.58538,-0.018712,136(53257),51.588406,-0.017873,341.43221640646135
84,136(53257),51.588406,-0.017873,71(ba3ae),51.587939,-0.020073,160.61616060196394
85,71(ba3ae),51.587939,-0.020073,406(bdafb),51.587324,-0.034319,986.5904385475038
86,406(bdafb),51.587324,-0.034319,566(3eee1),51.588911,-0.037253,268.75200508564336
87,566(3eee1),51.588911,-0.037253,578(83178),51.583008,-0.036483,658.5359903055215
88,578(83178),51.583008,-0.036483,142(f5b0f),51.575467,-0.034556,849.0275841820765
89,142(f5b0f),51.575467,-0.034556,176(fdcf4),51.568231,-0.031506,831.7594524462033
90,176(fdcf4),51.568231,-0.031506,351(d8bd1),51.573667,0.017449,3436.979827496896
91,351(d8bd1),51.573667,0.017449,199(9e51c),51.586857,0.025958,1580.123617342107
92,199(9e51c),51.586857,0.025958,236(4dcaf),51.58022,0.047227,1644.4519479740916
93,236(4dcaf),51.58022,0.047227,487(a7b0f),51.582419,0.063911,1178.4589752652453
94,487(a7b0f),51.582419,0.063911,43(e61cc),51.57646,0.089605,1895.0650760599774
95,43(e61cc),51.57646,0.089605,8(4bcd6),51.575913,0.108427,1302.1099162978098
96,8(4bcd6),51.575913,0.108427,155(42640),51.586251,0.12828,1789.7564041385556
97,155(42640),51.586251,0.12828,525(6a7d5),51.608904,0.123764,2538.139236359803
98,525(6a7d5),51.608904,0.123764,497(fa4e7),51.600363,0.084536,2870.7856203825268
99,497(fa4e7),51.600363,0.084536,548(cd05f),51.605844,0.077682,771.6950828231309
100,548(cd05f),51.605844,0.077682,53(36cae),51.604769,0.056,1502.1314515839283
101,53(36cae),51.604769,0.056,244(44fb2),51.608598,0.035476,1479.9207180771962
102,244(44fb2),51.608598,0.035476,65(e85ee),51.607134,0.032277,274.41283333047767
103,65(e85ee),51.607134,0.032277,318(cfcbe),51.565102,-0.06943,8439.261235667653
104,318(cfcbe),51.565102,-0.06943,171(3d168),51.572656,-0.071621,853.5077922190975
105,171(3d168),51.572656,-0.071621,293(803cc),51.575269,-0.073055,306.9880593750378
106,293(803cc),51.575269,-0.073055,403(595f8),51.573918,-0.076705,293.5862116831853
107,403(595f8),51.573918,-0.076705,15(cec4c),51.570824,-0.081064,457.2905939178777
108,15(cec4c),51.570824,-0.081064,423(c15c0),51.572571,-0.09063,689.069442055988
109,423(c15c0),51.572571,-0.09063,356(421bf),51.579491,-0.099794,996.5555053788848
110,356(421bf),51.579491,-0.099794,299(2ccf2),51.577558,-0.084836,1055.726651852106
