Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
1,0(447a81a19157c2f6ef97accacebaa66d8153e19ca43c16ca452e6d8d447823),51.483548,-0.009691,117(338f9cd2f0730c9d3ba886ddd334905cf7884d32fe5d81779626c8ffc44f0ed5),51.50033,-0.017778,1948.2557690937929
2,117(338f9cd2f0730c9d3ba886ddd334905cf7884d32fe5d81779626c8ffc44f0ed5),51.50033,-0.017778,278(7f5867ab97733f2c7159bcc780cb33b6165dd5ba1c68f9637efec44046c59add),51.500588,-0.034134,1132.5220066083464
3,278(7f5867ab97733f2c7159bcc780cb33b6165dd5ba1c68f9637efec44046c59add),51.500588,-0.034134,309(8a1c1ed37db0ad72d576d5a0123ab6822e8bb765a2b0b7590ced4583d0622d14),51.50993,-0.030302,1072.1067861695687
4,309(8a1c1ed37db0ad72d576d5a0123ab6822e8bb765a2b0b7590ced4583d0622d14),51.50993,-0.030302,528(e425cc37cb9ddbf6e042c70fb9926a2b98a5b6754948b682da09c867b6701c6c),51.520779,-0.031636,1209.8803008091134
5,528(e425cc37cb9ddbf6e042c70fb9926a2b98a5b6754948b682da09c867b6701c6c),51.520779,-0.031636,427(b97cbecc69cd34bf9a11302782cf7b44c8c98e11bf7ebb7fda82b0fc333aae64),51.523768,-0.016861,1074.9063174995636
6,427(b97cbecc69cd34bf9a11302782cf7b44c8c98e11bf7ebb7fda82b0fc333aae64),51.523768,-0.016861,61(1cc7754146657ccfb511845298cbbf3c11296964812b2a5e55f95fe9876bb3a6),51.527833,-0.021673,561.3673290804353
7,61(1cc7754146657ccfb511845298cbbf3c11296964812b2a5e55f95fe9876bb3a6),51.527833,-0.021673,343(985f670a519c0426ce6b6a2fef0c5b63f9262a68fdc7358e65dece34c800a7a9),51.537288,-0.02778,1133.0390662787697
8,343(985f670a519c0426ce6b6a2fef0c5b63f9262a68fdc7358e65dece34c800a7a9),51.537288,-0.02778,515(deefd925d4adc375661457275519693382abf7102c6080effeddc1133478e105),51.542136,-0.040709,1044.0987591500855
9,515(deefd925d4adc375661457275519693382abf7102c6080effeddc1133478e105),51.542136,-0.040709,158(4711700fdfd0bf2d880ab7186af3869383fb2bd56e7427c983abc833cdef98e7),51.538552,-0.045838,533.521061251439
10,158(4711700fdfd0bf2d880ab7186af3869383fb2bd56e7427c983abc833cdef98e7),51.538552,-0.045838,187(51d1c7efc7cf4bfae337b2ee3211ec504f3bbeff9ff407d76a27eefdb1e0428d),51.536887,-0.047884,233.0260106949492
11,187(51d1c7efc7cf4bfae337b2ee3211ec504f3bbeff9ff407d76a27eefdb1e0428d),51.536887,-0.047884,455(c3cb016801acd761912b9c528ebd03a5c86596da513d8c557517ffca7e0b7681),51.54052,-0.054939,633.461786874183
12,455(c3cb016801acd761912b9c528ebd03a5c86596da513d8c557517ffca7e0b7681),51.54052,-0.054939,445(c0d9bb5eb44817282fd8d52c2a859fb08b9d25c97bef584c3403a884da1ba063),51.53902,-0.056142,186.39169686738575
