Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
1,0(47823),51.483548,-0.009691,141(ea746),51.481394,-0.024806,1.0737245798087107
2,141(ea746),51.481394,-0.024806,313(916a4),51.47824,-0.026066,0.3614005293316599
3,313(916a4),51.47824,-0.026066,554(f384c),51.478737,-0.036356,0.7147544430719791
4,554(f384c),51.478737,-0.036356,175(6b010),51.47976,-0.045371,0.634585195494417
5,175(6b010),51.47976,-0.045371,338(7d25b),51.482392,-0.051163,0.4965150044921125
6,338(7d25b),51.482392,-0.051163,527(9182f),51.491327,-0.048247,1.0138347520327362
7,527(9182f),51.491327,-0.048247,73(677a4),51.493203,-0.047461,0.21558251275070983
8,73(677a4),51.493203,-0.047461,539(fb56c),51.497809,-0.04918,0.5258071891558098
9,539(fb56c),51.497809,-0.04918,278(59add),51.500588,-0.034134,1.0863837455113534
10,278(59add),51.500588,-0.034134,117(f0ed5),51.50033,-0.017778,1.1325220066083463
11,117(f0ed5),51.50033,-0.017778,309(22d14),51.50993,-0.030302,1.3750894982125237
12,309(22d14),51.50993,-0.030302,227(3ce3f),51.518735,-0.057886,2.145229557453624
13,227(3ce3f),51.518735,-0.057886,465(bb937),51.517182,-0.054824,0.273329588191602
14,465(bb937),51.517182,-0.054824,531(15ede),51.521582,-0.050053,0.5902083917922825
15,531(15ede),51.521582,-0.050053,214(71eab),51.529254,-0.05614,0.9513631505907039
16,214(71eab),51.529254,-0.05614,472(0951a),51.530061,-0.069615,0.9364479948803768
17,472(0951a),51.530061,-0.069615,451(57aa7),51.532452,-0.088734,1.348977387922291
18,451(57aa7),51.532452,-0.088734,21(bff1e),51.533392,-0.091246,0.20277158872576584
19,21(bff1e),51.533392,-0.091246,537(198db),51.536473,-0.100995,0.7563510982550108
20,537(198db),51.536473,-0.100995,72(ffb25),51.547152,-0.105771,1.2325310623122396
21,72(ffb25),51.547152,-0.105771,109(f1a4e),51.54757,-0.11047,0.32823635864743245
22,109(f1a4e),51.54757,-0.11047,387(a661b),51.552087,-0.115678,0.6180201460365786
23,387(a661b),51.552087,-0.115678,498(9e912),51.568683,-0.108195,1.9165221315224708
24,498(9e912),51.568683,-0.108195,122(1fc21),51.565977,-0.107658,0.3031740624904872
25,122(1fc21),51.565977,-0.107658,379(dbd67),51.564764,-0.10553,0.1995692084308565
26,379(dbd67),51.564764,-0.10553,321(d4299),51.564087,-0.104245,0.11643178542016604
27,321(d4299),51.564087,-0.104245,513(42ba6),51.563272,-0.103875,0.0941637142094894
28,513(42ba6),51.563272,-0.103875,336(3a074),51.560381,-0.099148,0.4583800318660987
29,336(3a074),51.560381,-0.099148,9(ed4c1),51.559728,-0.097732,0.1218774530873792
30,9(ed4c1),51.559728,-0.097732,302(f1507),51.557771,-0.08245,1.0786415556234614
31,302(f1507),51.557771,-0.08245,186(af4ce),51.54558,-0.075477,1.438762055588578
32,186(af4ce),51.54558,-0.075477,324(7040f),51.54402,-0.066991,0.6119281648199763
33,324(7040f),51.54402,-0.066991,553(b85d9),51.545342,-0.056118,0.7661309304854502
34,553(b85d9),51.545342,-0.056118,446(53135),51.551104,-0.060892,0.7207460682683817
35,446(53135),51.551104,-0.060892,400(6c267),51.552902,-0.054353,0.494348324143079
36,400(6c267),51.552902,-0.054353,217(b71c9),51.554578,-0.05294,0.2104162689159687
37,217(b71c9),51.554578,-0.05294,577(7283d),51.556032,-0.050022,0.25853175530640804
38,577(7283d),51.556032,-0.050022,54(faeaa),51.550118,-0.045933,0.7158024876029958
39,54(faeaa),51.550118,-0.045933,455(b7681),51.54052,-0.054939,1.2356676220468945
40,455(b7681),51.54052,-0.054939,445(ba063),51.53902,-0.056142,0.18639169686738574
41,445(ba063),51.53902,-0.056142,187(0428d),51.536887,-0.047884,0.6184351831971072
42,187(0428d),51.536887,-0.047884,158(f98e7),51.538552,-0.045838,0.23302601069494921
43,158(f98e7),51.538552,-0.045838,515(8e105),51.542136,-0.040709,0.533521061251439
44,515(8e105),51.542136,-0.040709,343(0a7a9),51.537288,-0.02778,1.0440987591500854
45,343(0a7a9),51.537288,-0.02778,61(bb3a6),51.527833,-0.021673,1.1330390662787697
46,61(bb3a6),51.527833,-0.021673,528(01c6c),51.520779,-0.031636,1.044191409783579
47,528(01c6c),51.520779,-0.031636,427(aae64),51.523768,-0.016861,1.0749063174995637
48,427(aae64),51.523768,-0.016861,414(d4615),51.523687,0.004817,1.499807016854693
49,414(d4615),51.523687,0.004817,382(7773f),51.524358,0.011319,0.45597998450754995
50,382(7773f),51.524358,0.011319,22(400a2),51.53602,0.010867,1.2971321284752293
51,22(400a2),51.53602,0.010867,569(b46af),51.531775,0.028645,1.3171685002550428
52,569(b46af),51.531775,0.028645,207(85357),51.53602,0.052438,1.7120913179438568
53,207(85357),51.53602,0.052438,2(f7d41),51.540042,0.076327,1.7116854032005122
54,2(f7d41),51.540042,0.076327,211(594af),51.547257,0.078675,0.8185381436620814
55,211(594af),51.547257,0.078675,40(f2703),51.558158,0.074527,1.2456020278893223
56,40(f2703),51.558158,0.074527,512(2db1d),51.55981,0.073678,0.19284256227320504
57,512(2db1d),51.55981,0.073678,42(db60f),51.560038,0.070904,0.19343361486712135
58,42(db60f),51.560038,0.070904,483(60f32),51.560038,0.070904,0.0
59,483(60f32),51.560038,0.070904,311(1c7e4),51.545323,0.030978,3.208991019929537
60,311(1c7e4),51.545323,0.030978,70(4dffe),51.546578,0.029116,0.18987589931243049
61,70(4dffe),51.546578,0.029116,60(19cb3),51.549348,0.007704,1.5122870158095925
62,60(19cb3),51.549348,0.007704,238(b97cd),51.546676,-1.15E-4,0.6169231130336416
63,238(b97cd),51.546676,-1.15E-4,376(2cf9b),51.544171,-0.004595,0.41660712153795304
64,376(2cf9b),51.544171,-0.004595,426(b06c7),51.544443,-0.006314,0.122661541714211
65,426(b06c7),51.544443,-0.006314,241(f68b8),51.543293,-0.006898,0.1341000284894448
66,241(f68b8),51.543293,-0.006898,334(c5c16),51.543293,-0.006898,0.0
67,334(c5c16),51.543293,-0.006898,541(5439a),51.553159,0.005708,1.4011868802676701
68,541(5439a),51.553159,0.005708,470(e8c89),51.557658,-0.007135,1.01914822534287
69,470(e8c89),51.557658,-0.007135,79(34272),51.560526,-0.011872,0.45709916282106783
70,79(34272),51.560526,-0.011872,385(2a25c),51.56367,-0.010047,0.3716625895673236
71,385(2a25c),51.56367,-0.010047,88(2d0ae),51.572725,-0.008424,1.0130996574476612
72,88(2d0ae),51.572725,-0.008424,285(a833d),51.576901,-0.010768,0.4917931436542411
73,285(a833d),51.576901,-0.010768,351(d8bd1),51.573667,0.017449,1.9828469970314084
74,351(d8bd1),51.573667,0.017449,199(9e51c),51.586857,0.025958,1.5801236173421072
75,199(9e51c),51.586857,0.025958,236(4dcaf),51.58022,0.047227,1.6444519479740916
76,236(4dcaf),51.58022,0.047227,487(a7b0f),51.582419,0.063911,1.1784589752652452
77,487(a7b0f),51.582419,0.063911,43(e61cc),51.57646,0.089605,1.8950650760599774
78,43(e61cc),51.57646,0.089605,8(4bcd6),51.575913,0.108427,1.3021099162978098
79,8(4bcd6),51.575913,0.108427,155(42640),51.586251,0.12828,1.7897564041385556
80,155(42640),51.586251,0.12828,525(6a7d5),51.608904,0.123764,2.538139236359803
81,525(6a7d5),51.608904,0.123764,497(fa4e7),51.600363,0.084536,2.870785620382527
82,497(fa4e7),51.600363,0.084536,548(cd05f),51.605844,0.077682,0.7716950828231308
83,548(cd05f),51.605844,0.077682,53(36cae),51.604769,0.056,1.5021314515839284
84,53(36cae),51.604769,0.056,244(44fb2),51.608598,0.035476,1.4799207180771963
85,244(44fb2),51.608598,0.035476,65(e85ee),51.607134,0.032277,0.27441283333047767
86,65(e85ee),51.607134,0.032277,263(d9298),51.630544,0.007025,3.1329557082955533
87,263(d9298),51.630544,0.007025,315(43aa8),51.622939,0.005302,0.8539602756766462
88,315(43aa8),51.622939,0.005302,257(0c956),51.612721,-0.02639,2.4654671576847456
89,257(0c956),51.612721,-0.02639,71(ba3ae),51.587939,-0.020073,2.789958999018271
90,71(ba3ae),51.587939,-0.020073,136(53257),51.588406,-0.017873,0.16061616060196393
91,136(53257),51.588406,-0.017873,83(5da87),51.58538,-0.018712,0.3414322164064614
92,83(5da87),51.58538,-0.018712,406(bdafb),51.587324,-0.034319,1.0997294942192
93,406(bdafb),51.587324,-0.034319,566(3eee1),51.588911,-0.037253,0.26875200508564334
94,566(3eee1),51.588911,-0.037253,578(83178),51.583008,-0.036483,0.6585359903055216
95,578(83178),51.583008,-0.036483,142(f5b0f),51.575467,-0.034556,0.8490275841820765
96,142(f5b0f),51.575467,-0.034556,176(fdcf4),51.568231,-0.031506,0.8317594524462033
97,176(fdcf4),51.568231,-0.031506,318(cfcbe),51.565102,-0.06943,2.6442652509595637
98,318(cfcbe),51.565102,-0.06943,171(3d168),51.572656,-0.071621,0.8535077922190974
99,171(3d168),51.572656,-0.071621,293(803cc),51.575269,-0.073055,0.30698805937503776
100,293(803cc),51.575269,-0.073055,403(595f8),51.573918,-0.076705,0.29358621168318527
101,403(595f8),51.573918,-0.076705,15(cec4c),51.570824,-0.081064,0.4572905939178777
102,15(cec4c),51.570824,-0.081064,423(c15c0),51.572571,-0.09063,0.689069442055988
103,423(c15c0),51.572571,-0.09063,356(421bf),51.579491,-0.099794,0.9965555053788848
104,356(421bf),51.579491,-0.099794,299(2ccf2),51.577558,-0.084836,1.055726651852106
105,299(2ccf2),51.577558,-0.084836,134(cdfcf),51.58196,-0.083525,0.4977922529854991
106,134(cdfcf),51.58196,-0.083525,584(e701b),51.58724,-0.077528,0.7185946620899855
107,584(e701b),51.58724,-0.077528,329(c5f90),51.58423,-0.072733,0.47092805920548825
108,329(c5f90),51.58423,-0.072733,546(8bdfb),51.590878,-0.059834,1.1578494696094535
109,546(8bdfb),51.590878,-0.059834,488(2d349),51.589026,-0.086115,1.8272320006464053
110,488(2d349),51.589026,-0.086115,571(ffe9e),51.59382,-0.09446,0.7851734475910528
111,571(ffe9e),51.59382,-0.09446,149(18474),51.593061,-0.105349,0.7569152238688128
112,149(18474),51.593061,-0.105349,473(09e90),51.594524,-0.109663,0.339513586934119
113,473(09e90),51.594524,-0.109663,510(b82a2),51.602281,-0.121759,1.2008344371891793
114,510(b82a2),51.602281,-0.121759,361(6b397),51.603411,-0.128861,0.5063318841225993
115,361(6b397),51.603411,-0.128861,89(d8c20),51.601323,-0.099085,2.069540620598078
116,89(d8c20),51.601323,-0.099085,392(e1b9b),51.60794,-0.089089,1.0089272874426225
117,392(e1b9b),51.60794,-0.089089,24(ca598),51.619443,-0.077598,1.505177482780283
118,24(ca598),51.619443,-0.077598,287(dded9),51.610971,-0.070922,1.0487696203857666
119,287(dded9),51.610971,-0.070922,490(ef0b1),51.606501,-0.066548,0.5816207692840837
120,490(ef0b1),51.606501,-0.066548,561(4d2c0),51.613718,-0.069,0.8201615286508316
121,561(4d2c0),51.613718,-0.069,409(f3ee1),51.61388,-0.065772,0.22361204940707335
122,409(f3ee1),51.61388,-0.065772,11(a0def),51.620426,-0.060842,0.8035359625949837
123,11(a0def),51.620426,-0.060842,424(76697),51.628983,-0.045407,1.4285012521189613
124,424(76697),51.628983,-0.045407,556(3a496),51.62818,-0.03933,0.42886298199695605
125,556(3a496),51.62818,-0.03933,437(9bdee),51.632317,-0.052301,1.0065571306635441
126,437(9bdee),51.632317,-0.052301,75(d2c1d),51.636226,-0.052682,0.43545561921825
127,75(d2c1d),51.636226,-0.052682,200(14b0b),51.636943,-0.041192,0.7969552913068574
128,200(14b0b),51.636943,-0.041192,295(d1ba6),51.650752,-0.029726,1.727335698426557
129,295(d1ba6),51.650752,-0.029726,450(801c9),51.656005,-0.035686,0.7143086550067858
130,450(801c9),51.656005,-0.035686,454(8d2d7),51.655359,-0.052513,1.1630101688981935
131,454(8d2d7),51.655359,-0.052513,362(fe7ae),51.661535,-0.061618,0.9306285660619782
132,362(fe7ae),51.661535,-0.061618,267(662e9),51.657767,-0.069253,0.6729793161199166
133,267(662e9),51.657767,-0.069253,68(50ed1),51.679836,-0.048564,2.8386015239587947
134,68(50ed1),51.679836,-0.048564,386(61e92),51.666585,-0.085508,2.942966062462983
135,386(61e92),51.666585,-0.085508,102(af637),51.656002,-0.08779,1.187255977241469
136,102(af637),51.656002,-0.08779,146(2b603),51.646539,-0.135165,3.433627442960474
137,146(2b603),51.646539,-0.135165,395(30704),51.651448,-0.178057,3.0092099544798683
138,395(30704),51.651448,-0.178057,347(ba542),51.64643,-0.21435,2.5654149349611775
139,347(ba542),51.64643,-0.21435,29(ba74e),51.616224,-0.254319,4.346448669471847
