Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
2,0(47823),51.483548,-0.009691,141(ea746),51.481394,-0.024806,1073.7245798087108
3,141(ea746),51.481394,-0.024806,313(916a4),51.47824,-0.026066,361.40052933165987
4,313(916a4),51.47824,-0.026066,554(f384c),51.478737,-0.036356,714.7544430719792
5,554(f384c),51.478737,-0.036356,175(6b010),51.47976,-0.045371,634.585195494417
6,175(6b010),51.47976,-0.045371,338(7d25b),51.482392,-0.051163,496.5150044921125
7,338(7d25b),51.482392,-0.051163,527(9182f),51.491327,-0.048247,1013.8347520327362
8,527(9182f),51.491327,-0.048247,73(677a4),51.493203,-0.047461,215.58251275070984
9,73(677a4),51.493203,-0.047461,539(fb56c),51.497809,-0.04918,525.8071891558099
10,539(fb56c),51.497809,-0.04918,278(59add),51.500588,-0.034134,1086.3837455113535
11,278(59add),51.500588,-0.034134,309(22d14),51.50993,-0.030302,1072.1067861695687
13,309(22d14),51.50993,-0.030302,117(f0ed5),51.50033,-0.017778,1375.0894982125237
15,117(f0ed5),51.50033,-0.017778,162(80a9e),51.497123,-0.06317,3162.3139520733434
16,162(80a9e),51.497123,-0.06317,358(08086),51.498139,-0.06804,355.5472456440931
17,358(08086),51.498139,-0.06804,150(67403),51.500446,-0.076587,644.8563681434033
18,150(67403),51.500446,-0.076587,269(5b793),51.509785,-0.068095,1193.2444196367908
19,269(5b793),51.509785,-0.068095,31(9db58),51.518422,-0.073278,1025.1761315198282
20,31(9db58),51.518422,-0.073278,55(02057),51.519775,-0.071852,179.91498280908542
21,55(02057),51.519775,-0.071852,345(29943),51.526132,-0.080594,930.3051227398756
22,345(29943),51.526132,-0.080594,472(0951a),51.530061,-0.069615,876.1923778701027
23,472(0951a),51.530061,-0.069615,214(71eab),51.529254,-0.05614,936.4479948803768
24,214(71eab),51.529254,-0.05614,531(15ede),51.521582,-0.050053,951.3631505907039
25,531(15ede),51.521582,-0.050053,465(bb937),51.517182,-0.054824,590.2083917922824
26,465(bb937),51.517182,-0.054824,227(3ce3f),51.518735,-0.057886,273.329588191602
28,227(3ce3f),51.518735,-0.057886,172(ae1e1),51.524979,-0.083237,1886.3860133285925
29,172(ae1e1),51.524979,-0.083237,119(1b369),51.526984,-0.089842,508.4284344542642
30,119(1b369),51.526984,-0.089842,451(57aa7),51.532452,-0.088734,612.8258329641591
31,451(57aa7),51.532452,-0.088734,21(bff1e),51.533392,-0.091246,202.77158872576584
32,21(bff1e),51.533392,-0.091246,537(198db),51.536473,-0.100995,756.3510982550108
33,537(198db),51.536473,-0.100995,72(ffb25),51.547152,-0.105771,1232.5310623122396
34,72(ffb25),51.547152,-0.105771,109(f1a4e),51.54757,-0.11047,328.23635864743244
35,109(f1a4e),51.54757,-0.11047,387(a661b),51.552087,-0.115678,618.0201460365786
36,387(a661b),51.552087,-0.115678,498(9e912),51.568683,-0.108195,1916.5221315224708
37,498(9e912),51.568683,-0.108195,122(1fc21),51.565977,-0.107658,303.1740624904872
38,122(1fc21),51.565977,-0.107658,379(dbd67),51.564764,-0.10553,199.5692084308565
39,379(dbd67),51.564764,-0.10553,321(d4299),51.564087,-0.104245,116.43178542016604
40,321(d4299),51.564087,-0.104245,513(42ba6),51.563272,-0.103875,94.1637142094894
41,513(42ba6),51.563272,-0.103875,336(3a074),51.560381,-0.099148,458.3800318660987
42,336(3a074),51.560381,-0.099148,9(ed4c1),51.559728,-0.097732,121.8774530873792
43,9(ed4c1),51.559728,-0.097732,302(f1507),51.557771,-0.08245,1078.6415556234615
44,302(f1507),51.557771,-0.08245,186(af4ce),51.54558,-0.075477,1438.762055588578
45,186(af4ce),51.54558,-0.075477,324(7040f),51.54402,-0.066991,611.9281648199762
46,324(7040f),51.54402,-0.066991,553(b85d9),51.545342,-0.056118,766.1309304854502
47,553(b85d9),51.545342,-0.056118,446(53135),51.551104,-0.060892,720.7460682683817
48,446(53135),51.551104,-0.060892,400(6c267),51.552902,-0.054353,494.348324143079
49,400(6c267),51.552902,-0.054353,217(b71c9),51.554578,-0.05294,210.41626891596871
50,217(b71c9),51.554578,-0.05294,577(7283d),51.556032,-0.050022,258.53175530640806
52,577(7283d),51.556032,-0.050022,54(faeaa),51.550118,-0.045933,715.8024876029958
54,54(faeaa),51.550118,-0.045933,455(b7681),51.54052,-0.054939,1235.6676220468946
55,455(b7681),51.54052,-0.054939,445(ba063),51.53902,-0.056142,186.39169686738575
56,445(ba063),51.53902,-0.056142,187(0428d),51.536887,-0.047884,618.4351831971072
59,187(0428d),51.536887,-0.047884,158(f98e7),51.538552,-0.045838,233.0260106949492
60,158(f98e7),51.538552,-0.045838,515(8e105),51.542136,-0.040709,533.521061251439
61,515(8e105),51.542136,-0.040709,343(0a7a9),51.537288,-0.02778,1044.0987591500855
62,343(0a7a9),51.537288,-0.02778,61(bb3a6),51.527833,-0.021673,1133.0390662787697
63,61(bb3a6),51.527833,-0.021673,528(01c6c),51.520779,-0.031636,1044.191409783579
65,528(01c6c),51.520779,-0.031636,427(aae64),51.523768,-0.016861,1074.9063174995636
66,427(aae64),51.523768,-0.016861,414(d4615),51.523687,0.004817,1499.807016854693
67,414(d4615),51.523687,0.004817,382(7773f),51.524358,0.011319,455.97998450754994
68,382(7773f),51.524358,0.011319,22(400a2),51.53602,0.010867,1297.1321284752294
69,22(400a2),51.53602,0.010867,569(b46af),51.531775,0.028645,1317.1685002550428
70,569(b46af),51.531775,0.028645,207(85357),51.53602,0.052438,1712.091317943857
71,207(85357),51.53602,0.052438,2(f7d41),51.540042,0.076327,1711.6854032005122
72,2(f7d41),51.540042,0.076327,211(594af),51.547257,0.078675,818.5381436620814
73,211(594af),51.547257,0.078675,40(f2703),51.558158,0.074527,1245.6020278893222
74,40(f2703),51.558158,0.074527,512(2db1d),51.55981,0.073678,192.84256227320503
75,512(2db1d),51.55981,0.073678,42(db60f),51.560038,0.070904,193.43361486712135
76,42(db60f),51.560038,0.070904,483(60f32),51.560038,0.070904,0.0
77,483(60f32),51.560038,0.070904,311(1c7e4),51.545323,0.030978,3208.991019929537
78,311(1c7e4),51.545323,0.030978,70(4dffe),51.546578,0.029116,189.87589931243048
79,70(4dffe),51.546578,0.029116,60(19cb3),51.549348,0.007704,1512.2870158095925
80,60(19cb3),51.549348,0.007704,238(b97cd),51.546676,-1.15E-4,616.9231130336416
81,238(b97cd),51.546676,-1.15E-4,376(2cf9b),51.544171,-0.004595,416.60712153795305
82,376(2cf9b),51.544171,-0.004595,426(b06c7),51.544443,-0.006314,122.661541714211
83,426(b06c7),51.544443,-0.006314,241(f68b8),51.543293,-0.006898,134.1000284894448
84,241(f68b8),51.543293,-0.006898,334(c5c16),51.543293,-0.006898,0.0
88,334(c5c16),51.543293,-0.006898,541(5439a),51.553159,0.005708,1401.1868802676702
89,541(5439a),51.553159,0.005708,470(e8c89),51.557658,-0.007135,1019.1482253428701
90,470(e8c89),51.557658,-0.007135,79(34272),51.560526,-0.011872,457.0991628210678
91,79(34272),51.560526,-0.011872,385(2a25c),51.56367,-0.010047,371.6625895673236
92,385(2a25c),51.56367,-0.010047,88(2d0ae),51.572725,-0.008424,1013.0996574476612
93,88(2d0ae),51.572725,-0.008424,285(a833d),51.576901,-0.010768,491.7931436542411
94,285(a833d),51.576901,-0.010768,83(5da87),51.58538,-0.018712,1090.968718508203
95,83(5da87),51.58538,-0.018712,71(ba3ae),51.587939,-0.020073,299.6816086857669
96,71(ba3ae),51.587939,-0.020073,136(53257),51.588406,-0.017873,160.61616060196394
98,136(53257),51.588406,-0.017873,406(bdafb),51.587324,-0.034319,1142.55598546044
99,406(bdafb),51.587324,-0.034319,566(3eee1),51.588911,-0.037253,268.75200508564336
101,566(3eee1),51.588911,-0.037253,578(83178),51.583008,-0.036483,658.5359903055215
102,578(83178),51.583008,-0.036483,142(f5b0f),51.575467,-0.034556,849.0275841820765
103,142(f5b0f),51.575467,-0.034556,176(fdcf4),51.568231,-0.031506,831.7594524462033
105,176(fdcf4),51.568231,-0.031506,351(d8bd1),51.573667,0.017449,3436.979827496896
