Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
1,0(47823),51.483548,-0.009691,141(ea746),51.481394,-0.024806,1073.7245798087108
2,141(ea746),51.481394,-0.024806,313(916a4),51.47824,-0.026066,361.40052933165987
3,313(916a4),51.47824,-0.026066,554(f384c),51.478737,-0.036356,714.7544430719792
4,554(f384c),51.478737,-0.036356,175(6b010),51.47976,-0.045371,634.585195494417
5,175(6b010),51.47976,-0.045371,338(7d25b),51.482392,-0.051163,496.5150044921125
6,338(7d25b),51.482392,-0.051163,527(9182f),51.491327,-0.048247,1013.8347520327362
7,527(9182f),51.491327,-0.048247,73(677a4),51.493203,-0.047461,215.58251275070984
8,73(677a4),51.493203,-0.047461,117(f0ed5),51.50033,-0.017778,2202.341280305684
9,117(f0ed5),51.50033,-0.017778,309(22d14),51.50993,-0.030302,1375.0894982125237
10,309(22d14),51.50993,-0.030302,278(59add),51.500588,-0.034134,1072.1067861695687
11,278(59add),51.500588,-0.034134,539(fb56c),51.497809,-0.04918,1086.3837455113535
12,539(fb56c),51.497809,-0.04918,162(80a9e),51.497123,-0.06317,971.4476441839228
13,162(80a9e),51.497123,-0.06317,358(08086),51.498139,-0.06804,355.5472456440931
14,358(08086),51.498139,-0.06804,150(67403),51.500446,-0.076587,644.8563681434033
15,150(67403),51.500446,-0.076587,269(5b793),51.509785,-0.068095,1193.2444196367908
16,269(5b793),51.509785,-0.068095,227(3ce3f),51.518735,-0.057886,1220.444500132561
17,227(3ce3f),51.518735,-0.057886,465(bb937),51.517182,-0.054824,273.329588191602
18,465(bb937),51.517182,-0.054824,531(15ede),51.521582,-0.050053,590.2083917922824
19,531(15ede),51.521582,-0.050053,214(71eab),51.529254,-0.05614,951.3631505907039
20,214(71eab),51.529254,-0.05614,472(0951a),51.530061,-0.069615,936.4479948803768
21,472(0951a),51.530061,-0.069615,31(9db58),51.518422,-0.073278,1318.7757039895948
22,31(9db58),51.518422,-0.073278,55(02057),51.519775,-0.071852,179.91498280908542
23,55(02057),51.519775,-0.071852,345(29943),51.526132,-0.080594,930.3051227398756
24,345(29943),51.526132,-0.080594,172(ae1e1),51.524979,-0.083237,223.31656426309115
25,172(ae1e1),51.524979,-0.083237,192(b5bfd),51.52166,-0.09093,647.6745403252747
26,192(b5bfd),51.52166,-0.09093,119(1b369),51.526984,-0.089842,596.7679141408972
27,119(1b369),51.526984,-0.089842,521(0ad98),51.526563,-0.092656,200.2214556323659
28,521(0ad98),51.526563,-0.092656,451(57aa7),51.532452,-0.088734,708.8058398469478
29,451(57aa7),51.532452,-0.088734,21(bff1e),51.533392,-0.091246,202.77158872576584
30,21(bff1e),51.533392,-0.091246,537(198db),51.536473,-0.100995,756.3510982550108
31,537(198db),51.536473,-0.100995,72(ffb25),51.547152,-0.105771,1232.5310623122396
32,72(ffb25),51.547152,-0.105771,109(f1a4e),51.54757,-0.11047,328.23635864743244
33,109(f1a4e),51.54757,-0.11047,387(a661b),51.552087,-0.115678,618.0201460365786
34,387(a661b),51.552087,-0.115678,498(9e912),51.568683,-0.108195,1916.5221315224708
35,498(9e912),51.568683,-0.108195,122(1fc21),51.565977,-0.107658,303.1740624904872
36,122(1fc21),51.565977,-0.107658,379(dbd67),51.564764,-0.10553,199.5692084308565
37,379(dbd67),51.564764,-0.10553,321(d4299),51.564087,-0.104245,116.43178542016604
38,321(d4299),51.564087,-0.104245,513(42ba6),51.563272,-0.103875,94.1637142094894
39,513(42ba6),51.563272,-0.103875,336(3a074),51.560381,-0.099148,458.3800318660987
40,336(3a074),51.560381,-0.099148,9(ed4c1),51.559728,-0.097732,121.8774530873792
41,9(ed4c1),51.559728,-0.097732,302(f1507),51.557771,-0.08245,1078.6415556234615
42,302(f1507),51.557771,-0.08245,186(af4ce),51.54558,-0.075477,1438.762055588578
43,186(af4ce),51.54558,-0.075477,324(7040f),51.54402,-0.066991,611.9281648199762
44,324(7040f),51.54402,-0.066991,553(b85d9),51.545342,-0.056118,766.1309304854502
45,553(b85d9),51.545342,-0.056118,446(53135),51.551104,-0.060892,720.7460682683817
46,446(53135),51.551104,-0.060892,400(6c267),51.552902,-0.054353,494.348324143079
47,400(6c267),51.552902,-0.054353,217(b71c9),51.554578,-0.05294,210.41626891596871
48,217(b71c9),51.554578,-0.05294,577(7283d),51.556032,-0.050022,258.53175530640806
49,577(7283d),51.556032,-0.050022,54(faeaa),51.550118,-0.045933,715.8024876029958
50,54(faeaa),51.550118,-0.045933,455(b7681),51.54052,-0.054939,1235.6676220468946
51,455(b7681),51.54052,-0.054939,445(ba063),51.53902,-0.056142,186.39169686738575
52,445(ba063),51.53902,-0.056142,187(0428d),51.536887,-0.047884,618.4351831971072
53,187(0428d),51.536887,-0.047884,158(f98e7),51.538552,-0.045838,233.0260106949492
54,158(f98e7),51.538552,-0.045838,515(8e105),51.542136,-0.040709,533.521061251439
55,515(8e105),51.542136,-0.040709,343(0a7a9),51.537288,-0.02778,1044.0987591500855
56,343(0a7a9),51.537288,-0.02778,61(bb3a6),51.527833,-0.021673,1133.0390662787697
57,61(bb3a6),51.527833,-0.021673,528(01c6c),51.520779,-0.031636,1044.191409783579
58,528(01c6c),51.520779,-0.031636,427(aae64),51.523768,-0.016861,1074.9063174995636
59,427(aae64),51.523768,-0.016861,414(d4615),51.523687,0.004817,1499.807016854693
60,414(d4615),51.523687,0.004817,382(7773f),51.524358,0.011319,455.97998450754994
61,382(7773f),51.524358,0.011319,22(400a2),51.53602,0.010867,1297.1321284752294
62,22(400a2),51.53602,0.010867,569(b46af),51.531775,0.028645,1317.1685002550428
63,569(b46af),51.531775,0.028645,207(85357),51.53602,0.052438,1712.091317943857
64,207(85357),51.53602,0.052438,2(f7d41),51.540042,0.076327,1711.6854032005122
65,2(f7d41),51.540042,0.076327,425(9654a),51.538044,0.080981,391.1042672033951
66,425(9654a),51.538044,0.080981,341(a7ca1),51.536435,0.077893,278.6132430752723
67,341(a7ca1),51.536435,0.077893,506(551e0),51.53002,0.083123,799.8053196622565
68,506(551e0),51.53002,0.083123,91(3927f),51.527701,0.11524,2236.6596217357855
69,91(3927f),51.527701,0.11524,567(6b450),51.533833,0.116274,685.5885382623843
70,567(6b450),51.533833,0.116274,81(d2f04),51.534355,0.125223,621.7059394826858
71,81(d2f04),51.534355,0.125223,536(d816e),51.533407,0.154017,1994.4397742616761
72,536(d816e),51.533407,0.154017,459(93956),51.528745,0.156162,539.207377394475
73,459(93956),51.528745,0.156162,478(5bfe3),51.506831,0.216876,4856.554702024464
74,478(5bfe3),51.506831,0.216876,44(31838),51.51236,0.200686,1278.0330660227155
75,44(31838),51.51236,0.200686,223(d6ebf),51.535373,0.196879,2572.447886679627
76,223(d6ebf),51.535373,0.196879,429(b37e5),51.546169,0.193274,1226.0766501725939
77,429(b37e5),51.546169,0.193274,52(5aad7),51.561719,0.220916,2577.23228914987
78,52(5aad7),51.561719,0.220916,179(6afd9),51.590272,0.220417,3175.135998435316
79,179(6afd9),51.590272,0.220417,280(ec3b1),51.609793,0.216271,2189.443329238444
80,280(ec3b1),51.609793,0.216271,36(c3298),51.605036,0.219563,575.7381490887848
81,36(c3298),51.605036,0.219563,405(f9816),51.594358,0.208301,1419.4479283949768
82,405(f9816),51.594358,0.208301,580(a30f9),51.575535,0.192089,2373.8968920523785
83,580(a30f9),51.575535,0.192089,452(29645),51.579435,0.185659,620.8790266944326
84,452(29645),51.579435,0.185659,346(049d1),51.583216,0.183308,450.72016813225923
85,346(049d1),51.583216,0.183308,377(e0ca5),51.579711,0.180772,427.3185416645063
86,377(e0ca5),51.579711,0.180772,77(38c6e),51.577486,0.182214,266.7207038468303
87,77(38c6e),51.577486,0.182214,544(4fc27),51.576028,0.181563,168.24803752213657
88,544(4fc27),51.576028,0.181563,310(cc9f3),51.581522,0.163625,1381.896514768668
89,310(cc9f3),51.581522,0.163625,558(63b73),51.561826,0.153427,2300.708546972271
90,558(63b73),51.561826,0.153427,348(937c0),51.54511,0.16556,2039.2621621510405
91,348(937c0),51.54511,0.16556,502(110be),51.550413,0.147608,1374.2778744076138
92,502(110be),51.550413,0.147608,494(a1727),51.546108,0.12029,1948.6724848202532
93,494(a1727),51.546108,0.12029,95(d9396),51.554352,0.108946,1206.4661691311335
94,95(d9396),51.554352,0.108946,501(703b4),51.549652,0.101718,723.1059199044754
95,501(703b4),51.549652,0.101718,32(f546d),51.540987,0.085412,1483.1691568963843
96,32(f546d),51.540987,0.085412,211(594af),51.547257,0.078675,838.5268990315691
97,211(594af),51.547257,0.078675,40(f2703),51.558158,0.074527,1245.6020278893222
98,40(f2703),51.558158,0.074527,512(2db1d),51.55981,0.073678,192.84256227320503
99,512(2db1d),51.55981,0.073678,42(db60f),51.560038,0.070904,193.43361486712135
100,42(db60f),51.560038,0.070904,483(60f32),51.560038,0.070904,0.0
101,483(60f32),51.560038,0.070904,311(1c7e4),51.545323,0.030978,3208.991019929537
102,311(1c7e4),51.545323,0.030978,70(4dffe),51.546578,0.029116,189.87589931243048
103,70(4dffe),51.546578,0.029116,60(19cb3),51.549348,0.007704,1512.2870158095925
104,60(19cb3),51.549348,0.007704,238(b97cd),51.546676,-1.15E-4,616.9231130336416
105,238(b97cd),51.546676,-1.15E-4,376(2cf9b),51.544171,-0.004595,416.60712153795305
106,376(2cf9b),51.544171,-0.004595,334(c5c16),51.543293,-0.006898,186.80403545318003
107,334(c5c16),51.543293,-0.006898,241(f68b8),51.543293,-0.006898,0.0
108,241(f68b8),51.543293,-0.006898,426(b06c7),51.544443,-0.006314,134.1000284894448
109,426(b06c7),51.544443,-0.006314,541(5439a),51.553159,0.005708,1276.8405412400712
110,541(5439a),51.553159,0.005708,79(34272),51.560526,-0.011872,1465.6694415994584
111,79(34272),51.560526,-0.011872,470(e8c89),51.557658,-0.007135,457.0991628210678
